smiles,pKa
C(CO)(F)(F)F,12.43
C#CCO,13.55
C(O)COC,14.8
C(O)C[C@H](O)C,14.9
C(O)CCO,15.1
c1ccc(cc1)CO,15.4
C(O)/C=C/C,15.52
CO,15.54
C(O)C,15.9
C(O)CC,16.1
C1CCC(CC1)O,16.84
C(O)(C)(C)C,17
C(O)(C)C,17.1
C=CCS,7.86
SCC(=O)OCC,7.95
SC[C@@H](CO)S,8.62
C(OCC)CS,9.38
OCCS,9.72
SC(C)(C)CO,9.85
C(=C)CS,9.96
SC,10.33
CCS,10.61
C(CC)CS,10.67
SC(C)C,10.86
SC(C)(C)C,11.05
SC(C)(C)CC,11.22
C(=O)(O)C(F)F,1.24
C(=O)(O)C(Cl)Cl,1.3
C(#N)CC(=O)O,2.44
C(=O)(O)CF,2.66
C(=O)(O)[C@@H](Cl)C,2.8
C(=O)(O)CCl,2.81
C#CCC(=O)O,2.86
C(=O)(O)CBr,2.86
C(=O)(O)CC(F)(F)F,3.07
C(=O)(O)CC(=O)C,3.53
COCC(=O)O,3.54
C(=O)O,3.75
C(=O)(O)CO,3.83
C(=O)(O)[C@H](O)C,3.87
C(CC(=O)O)Cl,4.1
C(=O)(O)C=C,4.26
c1ccccc1CC(=O)O,4.31
C=CCC(=O)O,4.35
ClCCCC(=O)O,4.52
C(=O)(O)C,4.76
C(=O)(O)CCC,4.82
C(=O)(O)CC,4.87
C1CCC(CC1)C(=O)O,4.9
C(=O)(O)C(C)(C)C,5.05
Sc1ccc(cc1)N(=O)=O,4.72
Sc1cc(ccc1)N(=O)=O,5.24
Sc1c[nH]c(=O)[nH]c1=O,5.3
Sc1ccc(cc1)C(=O)C,5.33
Sc1cc(ccc1)Cl,5.78
Sc1ccc(cc1)Br,6.02
Sc1ccc(cc1)Cl,6.14
c1(cc(ccc1)OC)S,6.39
Sc1ccccc1,6.61
Sc1c(cccc1)C,6.64
Sc1cc(ccc1)C,6.66
Sc1cc(ccc1)OC,6.78
Sc1ccc(cc1)C,6.82
c1cc(c(cc1)O)C=O,6.79
c1(ccc(cc1)O)N(=O)=O,7.14
c1ccc(c(c1)N(=O)=O)O,7.23
c1c(ccc(c1)O)C=O,7.66
c1c(ccc(c1)O)C#N,7.95
c1c(cc(cc1)O)C=O,8
c1ccc(cc1N(=O)=O)O,8.35
c1cc(ccc1O)C(=O)OC/C=C/C,8.41
c1cc(ccc1O)C(=O)OC,8.47
c1cc(ccc1O)C(=O)OCCCC,8.47
Clc1ccccc1O,8.48
c1cc(ccc1O)C(=O)OCC,8.5
c1cc(cc(c1)O)C#N,8.61
c1ccc(c(c1)F)O,8.81
c1ccc(cc1Cl)O,9.02
c1ccc(cc1F)O,9.28
c1(ccc(cc1)O)Cl,9.38
c1ccc(cc1O)O,9.39
c1ccc(cc1O)O,9.44
c1ccc(c(c1)O)O,9.48
c1c(ccc(c1)c1ccccc1)O,9.51
c1cc(cc(c1)c1ccccc1)O,9.59
c1ccc(cc1OC)O,9.65
c1cc(ccc1O)CO,9.82
c1cc(cc(c1)O)CO,9.83
c1cc(cc(c1)O)CC,9.9
c1cc(c(cc1)O)CO,9.92
c1ccc(c(c1)c1ccccc1)O,9.93
c1ccc(c(c1)OC)O,9.93
c1(ccc(cc1)O)F,9.95
c1(ccc(cc1)O)O,9.96
c1ccc(cc1)O,9.98
c1cc(ccc1O)CC,10
c1ccc(cc1C)O,10.08
c1(ccc(cc1)O)C,10.19
c1(ccc(cc1)O)OC,10.2
c1cc(c(cc1)O)CC,10.2
c1ccc(c(c1)C)O,10.28
c1ccc(c(c1)N(=O)=O)C(=O)O,2.17
Clc1ccccc1C(=O)O,2.94
c1ccc(c(c1)C(=O)O)C(=O)O,2.95
c1ccc(c(c1)O)C(=O)O,2.98
c1ccc(c(c1)F)C(=O)O,3.27
c1ccc(cc1N(=O)=O)C(=O)O,3.45
c1(c(cccc1)C(=O)O)C(C)(C)C,3.46
c1(ccc(cc1)C(=O)O)C(=O)O,3.51
c1c(cc(cc1)C(=O)O)C(=O)O,3.54
c1(ccccc1C(=O)O)CC,3.77
c1ccc(cc1Cl)C(=O)O,3.83
c1ccc(cc1F)C(=O)O,3.87
c1ccc(c(c1)C)C(=O)O,3.91
c1(ccc(cc1)C(=O)O)Cl,3.99
c1ccc(cc1O)C(=O)O,4.08
c1ccc(c(c1)OC)C(=O)O,4.09
c1cc(cc(c1)OC)C(=O)O,4.09
c1(ccc(cc1)C(=O)O)F,4.14
c1(cccc(c1)C(=O)O)OCC,4.17
c1(ccccc1C(=O)O)OCC,4.21
c1c(cc(cc1)C(=O)O)C,4.24
c1(ccc(cc1)C(=O)O)C,4.34
c1(ccc(cc1)C(=O)O)C(C)C,4.35
c1(ccc(cc1)C(=O)O)CC,4.35
c1(ccc(cc1)C(=O)O)OCC,4.45
c1c(ccc(c1)OC)C(=O)O,4.47
c1cc(ccc1O)C(=O)O,4.58
c1(ccc(cc1)C(=O)O)N(=O)=O,4.92
c1ccc2c(c1)c1c([C@H]2C(=O)C)cccc1,9.9
C(=O)[C@H](c1ccccc1)c1ccccc1,10.4
c1ccc2c(c1)c1c([C@H]2C(=O)SC)cccc1,10.5
c1ccc2c(c1)c1c([C@H]2C(=O)OC)cccc1,11.5
C(=O)Cc1ccccc1,13.1
C(=O)(CNC(=O)C)c1ccc(cc1)C,14.8
C(=O)C,16.7
C(=O)(C)c1ccccc1,18.3
C(=O)(C)c1ccc(cc1)C,19.2
C(=O)(C)C,19.3
c1ccncn1,1.1
c1cccnn1,2.1
c1c(cccn1)Cl,2.84
c1(ccccn1)OC,3.28
c1cc2c(cc1)cnnc2,3.39
c1cc2c(cc1)cccn2,4.85
c1c(cccn1)O,4.86
c1ccc(cn1)OC,4.88
c1cc2c(cc1)cc1c(c2)nccc1,5.05
c1ccccn1,5.17
c1cc2c(cc1)cc1c(cccc1)n2,5.6
c1c(cccn1)CC,5.7
c1c(cccn1)C(C)(C)C,5.82
c1cccc(n1)CC,5.97
c1cc(ccn1)C(C)(C)C,5.99
c12c(cccc1)nc[nH]2,6
c1cc(ccn1)CC,6.02
c1[nH]cc(n1)CO,6.45
c1cc(ccn1)OC,6.62
c1(ncc[nH]1)C,7.75
NCC#N,5.3
c1cc(ccc1)CN,9.34
c1cc(ccc1)CCN,9.68
C(N)(C)C,9.8
NCCCC,10.59
C(CN)C,10.6
CN,10.63
C(N)(C)(C)C,10.68
C(N)C,10.7
[C@@H]1(CC[C@@H](CC1)N)C(C)(C)C,11.23
N(C[C@@H](c1ccc(c(c1)O)O)O)C,8.55
C(NC)C,10.54
CNC,10.78
CCCNCCC,11
C(NCC)C,11.02
C1CCNCC1,11.22
C(CNC1CCCCC1)C,11.23
C1CCCN1,11.27
C1CCN(CC1)CC=C,9.69
CN(C)C,9.8
C(N(C)C)C,10.16
CCN(CC)CC,10.75
c1ccc(c(c1)N(=O)=O)N,0.28
c1(ccc(cc1)N)N(=O)=O,0.98
c1ccc(c(c1)C(=O)O)N,2.04
c1(ccccc1N)C(=O)OCC,2.1
c1(ccccc1N)C(=O)OC,2.16
c1(ccc(cc1)N)C(=O)OC,2.3
c1(ccc(cc1)N)C(=O)O,2.32
c1(ccc(cc1)N)C(=O)OCC,2.38
c1ccc(cc1N(=O)=O)N,2.45
Clc1ccccc1N,2.62
c1ccc(c(c1)F)N,2.96
c1ccc(cc1C(=O)O)N,3.05
c1ccc(cc1Cl)N,3.32
c1ccc(cc1F)N,3.38
c1(cc(ccc1)N)C(=O)OC,3.56
c1ccc(c(c1)c1ccccc1)N,3.78
c1(ccc(cc1)N)Cl,3.81
c1(cccc(c1)N)SC,4.05
c1ccc(cc1O)N,4.17
c1(cc(ccc1)N)OCC,4.17
c1ccc(cc1OC)N,4.2
c1(ccc(cc1)N)[Si](C)(C)C,4.36
c1ccc(c(c1)C)N,4.38
c1(ccc(cc1)N)SC,4.4
c1(c(cccc1)N)OCC,4.47
c1ccc(c(c1)OC)N,4.49
c1(ccc(cc1)N)F,4.52
c1(cccc(c1)N)[Si](C)(C)C,4.64
c1ccc(cc1C)N,4.67
c1ccc(c(c1)O)N,4.72
c1(ccc(cc1)N)C,5.07
c1(ccc(cc1)N)OCC,5.25
c1(ccc(cc1)N)OC,5.29
c1(ccc(cc1)N)O,5.5
